Vivado Simulator 2019.2
Time resolution is 1 ps
a = 00010100, b = 11110111, op = 111111, out = 00001011                 124
Error en operacion 111111 en tiempo                  124 ns
a = 00010100, b = 11110111, op = 111111, out = 00011011                 124
Error en operacion 111111 en tiempo                  124 ns
a = 00010100, b = 11110111, op = 111111, out = 00111001                 124
Error en operacion 111111 en tiempo                  124 ns
a = 00010100, b = 11110111, op = 111111, out = 00011011                 124
Error en operacion 111111 en tiempo                  124 ns
a = 00010100, b = 11110111, op = 111111, out = 00111011                 124
Error en operacion 111111 en tiempo                  124 ns
a = 00010100, b = 11110111, op = 111111, out = 00111111                 124
Error en operacion 111111 en tiempo                  124 ns
a = 00010100, b = 11110111, op = 111111, out = 01111111                 124
Error en operacion 111111 en tiempo                  124 ns
a = 00010100, b = 11110111, op = 111111, out = 11111111                 124
Error en operacion 111111 en tiempo                  125 ns
a = 00010100, b = 11110111, op = 111111, out = 11101111                 125
Error en operacion 111111 en tiempo                  125 ns
a = 00010100, b = 11110111, op = 111111, out = 11111111                 125
Error en operacion 111111 en tiempo                  125 ns
a = 00010100, b = 11110111, op = 111111, out = 11110111                 125
Error en operacion 111111 en tiempo                  125 ns
a = 00010100, b = 11110111, op = 111111, out = 11111111                 125
Error en operacion 111111 en tiempo                  132 ns
a = 00010100, b = 11110111, op = 111111, out = 01111110                 132
Error en operacion 111111 en tiempo                  132 ns
a = 00010100, b = 11110111, op = 111111, out = 01111010                 132
a = 00010100, b = 11110111, op = 111111, out = 00000000                 132
a = 00010100, b = 00000011, op = 000011, out = 00000000                 132
Error en operacion 000011 en tiempo                  140 ns
a = 00010100, b = 00000011, op = 000011, out = 00000001                 140
Error en operacion 000011 en tiempo                  140 ns
a = 00010100, b = 00000011, op = 000011, out = 00000000                 140
a = 00100000, b = 11110000, op = 100111, out = 00000000                 140
Error en operacion 100111 en tiempo                  140 ns
a = 00100000, b = 11110000, op = 100111, out = 00000100                 140
Error en operacion 100111 en tiempo                  140 ns
a = 00100000, b = 11110000, op = 100111, out = 00010110                 140
Error en operacion 100111 en tiempo                  140 ns
a = 00100000, b = 11110000, op = 100111, out = 00010010                 140
Error en operacion 100111 en tiempo                  140 ns
a = 00100000, b = 11110000, op = 100111, out = 00000010                 140
Error en operacion 100111 en tiempo                  147 ns
a = 00100000, b = 11110000, op = 100111, out = 00000000                 147
Error en operacion 100111 en tiempo                  147 ns
a = 00100000, b = 11110000, op = 100111, out = 00000100                 147
Error en operacion 100111 en tiempo                  147 ns
a = 00100000, b = 11110000, op = 100111, out = 00000110                 147
Error en operacion 100111 en tiempo                  148 ns
a = 00100000, b = 11110000, op = 100111, out = 00000100                 148
Error en operacion 100111 en tiempo                  148 ns
a = 00100000, b = 11110000, op = 100111, out = 00000101                 148
Error en operacion 100111 en tiempo                  148 ns
a = 00100000, b = 11110000, op = 100111, out = 10000101                 148
Error en operacion 100111 en tiempo                  148 ns
a = 00100000, b = 11110000, op = 100111, out = 10000001                 148
a = 11111111, b = 00011000, op = 100101, out = 10000001                 148
Error en operacion 100101 en tiempo                  148 ns
a = 11111111, b = 00011000, op = 100101, out = 00000001                 148
Error en operacion 100101 en tiempo                  148 ns
a = 11111111, b = 00011000, op = 100101, out = 00000101                 148
Error en operacion 100101 en tiempo                  148 ns
a = 11111111, b = 00011000, op = 100101, out = 00001111                 148
Error en operacion 100101 en tiempo                  155 ns
a = 11111111, b = 00011000, op = 100101, out = 00001110                 155
Error en operacion 100101 en tiempo                  155 ns
a = 11111111, b = 00011000, op = 100101, out = 00001010                 155
Error en operacion 100101 en tiempo                  155 ns
a = 11111111, b = 00011000, op = 100101, out = 00000000                 155
Error en operacion 100101 en tiempo                  156 ns
a = 11111111, b = 00011000, op = 100101, out = 10000000                 156
a = 00110101, b = 00000101, op = 100000, out = 10000000                 156
Error en operacion 100000 en tiempo                  156 ns
a = 00110101, b = 00000101, op = 100000, out = 10000100                 156
Error en operacion 100000 en tiempo                  156 ns
a = 00110101, b = 00000101, op = 100000, out = 11001110                 156
Error en operacion 100000 en tiempo                  156 ns
a = 00110101, b = 00000101, op = 100000, out = 11001111                 156
Error en operacion 100000 en tiempo                  156 ns
a = 00110101, b = 00000101, op = 100000, out = 11111111                 156
Error en operacion 100000 en tiempo                  163 ns
a = 00110101, b = 00000101, op = 100000, out = 01111111                 163
Error en operacion 100000 en tiempo                  163 ns
a = 00110101, b = 00000101, op = 100000, out = 00111101                 163
Error en operacion 100000 en tiempo                  163 ns
a = 00110101, b = 00000101, op = 100000, out = 00110101                 163
a = 00100010, b = 00010001, op = 100101, out = 00110101                 164
Error en operacion 100101 en tiempo                  164 ns
a = 00100010, b = 00010001, op = 100101, out = 00110100                 164
Error en operacion 100101 en tiempo                  164 ns
a = 00100010, b = 00010001, op = 100101, out = 00000110                 164
Error en operacion 100101 en tiempo                  164 ns
a = 00100010, b = 00010001, op = 100101, out = 00010110                 164
Error en operacion 100101 en tiempo                  164 ns
a = 00100010, b = 00010001, op = 100101, out = 00110110                 164
Error en operacion 100101 en tiempo                  164 ns
a = 00100010, b = 00010001, op = 100101, out = 00110010                 164
Error en operacion 100101 en tiempo                  164 ns
a = 00100010, b = 00010001, op = 100101, out = 01110010                 164
Error en operacion 100101 en tiempo                  164 ns
a = 00100010, b = 00010001, op = 100101, out = 11110010                 164
Error en operacion 100101 en tiempo                  164 ns
a = 00100010, b = 00010001, op = 100101, out = 10110010                 164
Error en operacion 100101 en tiempo                  164 ns
a = 00100010, b = 00010001, op = 100101, out = 00110010                 164
Error en operacion 100101 en tiempo                  165 ns
a = 00100010, b = 00010001, op = 100101, out = 00111010                 165
Error en operacion 100101 en tiempo                  172 ns
a = 00100010, b = 00010001, op = 100101, out = 00111110                 172
Error en operacion 100101 en tiempo                  172 ns
a = 00100010, b = 00010001, op = 100101, out = 00110110                 172
a = 00101110, b = 00010001, op = 100100, out = 00110110                 172
Error en operacion 100100 en tiempo                  172 ns
a = 00101110, b = 00010001, op = 100100, out = 00110111                 172
Error en operacion 100100 en tiempo                  172 ns
a = 00101110, b = 00010001, op = 100100, out = 00110011                 172
Error en operacion 100100 en tiempo                  179 ns
a = 00101110, b = 00010001, op = 100100, out = 00110111                 179
Error en operacion 100100 en tiempo                  179 ns
a = 00101110, b = 00010001, op = 100100, out = 00111111                 179
Error en operacion 100100 en tiempo                  180 ns
a = 00101110, b = 00010001, op = 100100, out = 00111110                 180
Error en operacion 100100 en tiempo                  180 ns
a = 00101110, b = 00010001, op = 100100, out = 00111010                 180
a = 00101110, b = 00010001, op = 100100, out = 00000000                 180
a = 00111101, b = 00001111, op = 100111, out = 00000000                 180
Error en operacion 100111 en tiempo                  187 ns
a = 00111101, b = 00001111, op = 100111, out = 00000001                 187
Error en operacion 100111 en tiempo                  187 ns
a = 00111101, b = 00001111, op = 100111, out = 00000101                 187
